Symbol
HCLTECH
LODHA
ZYDUSLIFE
AMBUJACEM
INDUSINDBK
BAJAJHFL
DLF
TORNTPHARM
APOLLOHOSP
HYUNDAI
BAJAJFINSV
DRREDDY
LTM
SHREECEM
BAJAJHLDNG
BHARTIARTL
SUNPHARMA
ULTRACEMCO
VEDL
UNITDSPR
ABB
BAJFINANCE
EICHERMOT
TCS
WIPRO
TATASTEEL
DIVISLAB
INDHOTEL
ADANIENT
VBL
JINDALSTEL
NESTLEIND
BOSCHLTD
TATACONSUM
NAUKRI
ICICIBANK
ONGC
ADANIENSOL
BEL
ETERNAL
TRENT
ICICIGI
HDFCBANK
INFY
JSWSTEEL
CANBK
HINDALCO
GRASIM
SBILIFE
CIPLA
MARUTI
BRITANNIA
CHOLAFIN
ADANIGREEN
RELIANCE
TVSMOTOR
ITC
GODREJCP
IOC
COALINDIA
GAIL
HAL
POWERGRID
JIOFIN
ASIANPAINT
SHRIRAMFIN
SWIGGY
IRFC
HEROMOTOCO
INDIGO
TATAPOWER
HINDUNILVR
LICI
TITAN
PIDILITIND
HAVELLS
ADANIPORTS
NTPC
TMPV
DABUR
HDFCLIFE
KOTAKBANK
BAJAJ-AUTO
BPCL
TECHM
LT
MOTHERSON
PFC
SBIN
RECLTD
M&M
SIEMENS
ADANIPOWER
PNB
AXISBANK
ICICIPRULI
JSWENERGY
BANKBARODA
DMART
CGPOWER
